Country Name,WVS country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bhutan,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361706291,2.988995474,5.48246449,12.20984547,21.75373167,36.15507526,47.4398775,54.19100903,65.3858827,74.49064833,71.1587911,80.43500659,85.82156655,87.54119321
Botswana,Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909785131,5.41220405,12.85568812,18.93312288,18.66700975,24.66155196,28.58095587,30.37860778,43.68184911,60.16258761,76.3372588,94.65720684,117.298669,141.3838961,147.4993479,152.5382345,157.2696423,157.3117744,146.1602659
Central African Republic,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001312349,0.031171589,0.038950232,0.045394085,0.113205248,0.132277457,0.287041161,0.322447572,1.004604858,1.479641611,2.422533437,2.617951819,7.951728332,13.11736173,19.60935283,22.01250976,22.17180691,25.45675055,30.23122005,25.59290533,27.330987,27.16972738
Canada,Canada,0,0,0,0,0,0.046378695,0.22893703,0.370210261,0.751945184,1.263177571,2.108015548,2.766417899,3.616820537,4.642708135,6.42791606,8.829776864,11.80799208,14.0286224,17.71481298,22.69345349,28.39362459,34.32422881,37.9044158,42.02314887,47.01181245,52.70258468,57.43244785,61.40957528,66.13620397,70.47060993,75.58210932,77.71010667,79.42532966,80.44136099,80.85723896,82.79621957,84.74001333
Central Europe and the Baltics,Central Europe and the Baltics,0,0,0,0,0,0,0,0,0,0,0.002599073,0.011668709,0.040854159,0.099904376,0.26480457,0.501959798,1.109685489,2.848767249,5.709925357,10.87694282,20.66794839,32.44199018,44.1107975,54.02022158,67.6941703,82.10532504,97.00144962,111.2351316,119.2575529,119.9992572,122.1921056,125.3243201,129.9499356,132.3724859,131.4642964,128.4656546,127.3229575
Switzerland,Switzerland,0,0,0,0,0,0,0,0.083819551,0.468149037,1.098856274,1.873394168,2.589455767,3.155526562,3.739378374,4.771619748,6.371238971,9.385310344,14.72664421,23.87258864,42.83146907,64.71825317,73.24755976,79.18789483,84.87507976,85.4029135,92.22603163,99.39516725,108.57798,116.3559314,120.4909656,123.1383135,127.1387232,131.49289,135.8549107,135.486059,135.1384876,133.8068226
Channel Islands,Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Chile,0,0,0,0,0,0,0,0,0,0.037510181,0.105126576,0.268524521,0.471346971,0.61361404,0.821004941,1.380145074,2.203599353,2.788326647,6.476785353,14.99432379,22.28644319,33.02553084,39.96707552,46.00311199,57.97867605,65.45816626,76.29264515,84.61961472,88.80473237,97.74669297,116.8235653,130.0925994,138.3092103,135.4942644,134.4441329,130.64668,130.1112399
China,China,0,0,0,0,0,0,0,6.30E-05,0.000284853,0.000849973,0.001562461,0.003998037,0.014696215,0.052418431,0.127584239,0.292675451,0.54824814,1.05101637,1.882769338,3.394681872,6.644332017,11.21820253,15.8630534,20.66477271,25.48113353,29.76687407,34.68664201,40.9414866,47.69694564,55.2645244,63.17336105,72.12191839,80.87231798,88.88624773,92.51732892,92.48087287,97.25213003
Cote d'Ivoire,Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090355285,0.233070262,0.574218272,1.577486653,2.834328775,4.275460688,5.914012579,7.244019932,9.303013523,12.81304634,21.74087613,39.1267478,53.59033492,66.13195203,76.46091326,83.00542643,84.50379327,88.27563771,98.10586139,109.9493294,115.8480074
